px_est	py_est	v_est	yaw_ang_est	yaw_rate_est	sensor_type	NIS	px_meas	py_meas	px_gt	py_gt	vx_gt	vy_gt	yaw_ang_gt	yaw_rate_gt	NIS_laser	NIS_radar
17.8302	5.95404	4.87389	0.899305	0.426937	radar	0.856285	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	0.868904	0.440862	1.86889	0.856285
18.0043	6.14336	4.89234	0.91196	0.415824	lidar	0.824974	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	0.890947	0.444959	0.824974	0.856285
18.1545	6.35032	4.9158	0.935206	0.417433	radar	0.734302	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	0.913195	0.448987	0.824974	0.734302
18.2749	6.59049	4.9506	0.977654	0.444185	lidar	0.564613	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	0.935644	0.452943	0.564613	0.734302
18.4067	6.80415	4.94872	1.00543	0.453778	radar	0.222531	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	0.958291	0.456828	0.564613	0.222531
18.5563	6.93518	4.85565	0.995457	0.414008	lidar	1.9742	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	0.981133	0.46064	1.9742	0.222531
18.7073	7.14039	4.90317	1.0024	0.387253	radar	0.7477	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	1.00417	0.46438	1.9742	0.7477
18.907	7.27448	4.85169	0.974418	0.329054	lidar	3.90412	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	1.02738	0.468047	3.90412	0.7477
18.995	7.4745	4.76134	1.01687	0.376767	radar	3.90324	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	1.05079	0.47164	3.90412	3.90324
19.0835	7.74415	4.83053	1.06848	0.416993	lidar	1.38017	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	1.07437	0.475158	1.38017	3.90324
19.2058	7.94917	4.83538	1.08146	0.403739	radar	0.291179	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	1.09813	0.478601	1.38017	0.291179
19.2841	8.1672	4.81936	1.11452	0.41957	lidar	1.30975	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	1.12206	0.481969	1.30975	0.291179
19.3845	8.37628	4.82758	1.12852	0.402691	radar	2.2373	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	1.14615	0.48526	1.30975	2.2373
19.4807	8.52072	4.71407	1.12939	0.379979	lidar	3.54998	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	1.17042	0.488475	3.54998	2.2373
